D & B Used Cars|111 Old Benbrook Rd|817-555-5555
37846|2001|Ford|Ranger|Truck|Yellow|172544|1995.0
12345|2019|Tesla|Model Y|Sedan|Ruby Red|50000|23000.0
56789|2008|Chevrolet|Camaro|Coupe|Black|75000|15000.0
24680|2015|Honda|Civic|Sedan|Blue|40000|12000.0
13579|2005|Toyota|Corolla|Sedan|Silver|100000|5000.0
98765|2018|BMW|X5|SUV|White|30000|40000.0
54321|2010|Jeep|Wrangler|SUV|Green|80000|20000.0
87654|2017|Mercedes-Benz|E-Class|Sedan|Gray|60000|35000.0
45678|2003|Nissan|Altima|Sedan|Gold|90000|7000.0
12355|2024|Honda|CRV|Suv|Gun Metal|23000|55000.0
24681|2016|Toyota|Camry|Sedan|White|35000|15000.0
98765|2015|Ford|Mustang|Coupe|Blue|40000|20000.0
13579|2012|Chevrolet|Equinox|SUV|Silver|60000|12000.0
54321|2019|Subaru|Outback|Wagon|Green|20000|25000.0
87654|2014|Audi|A4|Sedan|Black|45000|18000.0
24400|2024|Tesla|Cyber Truck|Truck|Gun Metal|1000|89000.0
